description,timestamp,cleaned_description
"Flag Day commemorates the day the Second Continental Congress officially adopted the first American flag. 

Other flags have been in the news a lot lately, so hopefully this holiday will succeed in refocusing us on symbols that genuinely unite the nation.

With America once more in a “somber setting,” we ought “constantly strengthen those spiritual weapons which forever will be our country’s most powerful resource.” 

That starts with remembering that we are indeed one nation under God.

Link in bio for MORE.",2023-06-14 20:14:22,"Flag Day commemorates the day the Second Continental Congress officially adopted the first American flag 

Other flags have been in the news a lot lately so hopefully this holiday will succeed in refocusing us on symbols that genuinely unite the nation

With America once more in a somber setting we ought constantly strengthen those spiritual weapons which forever will be our countrys most powerful resource 

That starts with remembering that we are indeed one nation under God

Link in bio for MORE"
"'This Is What Pride Activism Looks Like': Biden WH Has Egg On Face For Topless Trans At Pride Celebration

#NR #NRO #trans #pride #gender #transgender #WhiteHouse #Biden #celebration #party #whitehouse #southlawn #admin #Democrats #liberals #activism #rules #game #transgressive #provoke #Republicans #conservatives",2023-06-14 04:02:33,"This Is What Pride Activism Looks Like Biden WH Has Egg On Face For Topless Trans At Pride Celebration

NR NRO trans pride gender transgender WhiteHouse Biden celebration party whitehouse southlawn admin Democrats liberals activism rules game transgressive provoke Republicans conservatives"
"Cali Dems Want To Make It Law To Let 7-Year-Olds Change Gender, Would Punish Parents 

#NR #NRO #trans #gender #transgender #lgbt #pride #law #california #cali #ca #politics #Democrats #Republicans #children #kids #surgery #puberty #conservatives #liberals #GOP #Dems",2023-06-14 00:09:56,"Cali Dems Want To Make It Law To Let 7YearOlds Change Gender Would Punish Parents 

NR NRO trans gender transgender lgbt pride law california cali ca politics Democrats Republicans children kids surgery puberty conservatives liberals GOP Dems"
"“ON MY WAY TO COURTHOUSE. WITCH HUNT!!! MAGA,” Trump posted before pleading ""not guilty"" to all 37 counts against him in federal court.

Link in bio for MORE.",2023-06-13 22:19:46,"ON MY WAY TO COURTHOUSE WITCH HUNT MAGA Trump posted before pleading not guilty to all 37 counts against him in federal court

Link in bio for MORE"
"“Are we topless at the White House?""

Link in bio for MORE.",2023-06-13 21:45:08,"Are we topless at the White House

Link in bio for MORE"
"'Eat, Pray, Love' Author Scraps New Book Completely After Ukrainian Readers Lose Minds Over Siberia Setting

#NR #NRO #EatPrayLove #Author #UKraine #Russia #Siberia #Soviet #USSR #book #cancel #cancelculture #surrender #bully #outrage",2023-06-13 00:30:48,"Eat Pray Love Author Scraps New Book Completely After Ukrainian Readers Lose Minds Over Siberia Setting

NR NRO EatPrayLove Author UKraine Russia Siberia Soviet USSR book cancel cancelculture surrender bully outrage"
"'What A Bunch Of Morons': Elites Clap Like Seals After Speaker Calls DeSantis 'Grand Wizard' Of Florida

#NR #NRO #racist #DeSantis #actors #TonyAwards #tonys #morons #politics #sheep #liberals #Conservatives #Republicans #Democrats #Elites #usa #america",2023-06-12 23:06:56,"What A Bunch Of Morons Elites Clap Like Seals After Speaker Calls DeSantis Grand Wizard Of Florida

NR NRO racist DeSantis actors TonyAwards tonys morons politics sheep liberals Conservatives Republicans Democrats Elites usa america"
"A U.S. Air Force B-1B Lancer prepares to taxi at Royal Air Force Fairford, United Kingdom, June 7, 2023. (Photo: Senior Airman Josiah Brown/U.S. Air Force)

Every Monday, National Review posts Defending America, a gallery of recent U.S. armed forces deployments and training exercises featuring images by photographers serving in the Army, Navy, Air Force, Marine Corps, and Coast Guard.

Link in bio for MORE",2023-06-12 18:13:50,"A US Air Force B1B Lancer prepares to taxi at Royal Air Force Fairford United Kingdom June 7 2023 Photo Senior Airman Josiah BrownUS Air Force

Every Monday National Review posts Defending America a gallery of recent US armed forces deployments and training exercises featuring images by photographers serving in the Army Navy Air Force Marine Corps and Coast Guard

Link in bio for MORE"
"Men at their best are protectors. 

We take on particular responsibilities, risks, burdens, and challenges because, on some level, we’re made for this. 

Being a dad means investing an enormous amount of your own soul in someone else.

Yes, we can find meaning in a lot of places in life — romantic relationships, friendship, community, faith, work, art, the honing of a skill, travel, and discovery. 

And if you have a single- or double-income, no-kids life, and it works for you, God bless ya. 

But for most of us who have seen a small person emerge from our wife, fatherhood gives life unparalleled meaning. 

Buddy, it matters if we get out of bed in the morning, because somebody needs us. Parenthood, for a lot of us, may well be a de facto antidepressant — not because you always feel good, but because you no longer have any time to sit around feeling bad. Your kids will always need you in one way or another — first for bottle-feeding and diaper-changing, then as fellow pretend superheroes and to apply Band-Aids to skinned knees, and then, when they’re teenagers, as a free personal Uber service or, once in a great while, for unexpected deep talks about the meaning of life.

As those essays by the aged warn, the only people who will really remember the overtime you put in at the office will be your children. A lot of what we do on a day-to-day basis doesn’t matter much in the long run. That seemingly all-consuming work project, the striving for that big promotion, those intractable deadlines, that unexpected challenge that seemed so stressful — in a decade or two, few will remember and even fewer will care. 

Link in bio for MORE.",2023-06-09 18:58:04,"Men at their best are protectors 

We take on particular responsibilities risks burdens and challenges because on some level were made for this 

Being a dad means investing an enormous amount of your own soul in someone else

Yes we can find meaning in a lot of places in life  romantic relationships friendship community faith work art the honing of a skill travel and discovery 

And if you have a single or doubleincome nokids life and it works for you God bless ya 

But for most of us who have seen a small person emerge from our wife fatherhood gives life unparalleled meaning 

Buddy it matters if we get out of bed in the morning because somebody needs us Parenthood for a lot of us may well be a de facto antidepressant  not because you always feel good but because you no longer have any time to sit around feeling bad Your kids will always need you in one way or another  first for bottlefeeding and diaperchanging then as fellow pretend superheroes and to apply BandAids to skinned knees and then when theyre teenagers as a free personal Uber service or once in a great while for unexpected deep talks about the meaning of life

As those essays by the aged warn the only people who will really remember the overtime you put in at the office will be your children A lot of what we do on a daytoday basis doesnt matter much in the long run That seemingly allconsuming work project the striving for that big promotion those intractable deadlines that unexpected challenge that seemed so stressful  in a decade or two few will remember and even fewer will care 

Link in bio for MORE"
"Trump posts on Truth Social that his attorneys have been informed that he has been indicted by the Biden DOJ in relation to the classified documents at Mar-a-Lago.

Link in bio for MORE.",2023-06-09 02:36:55,"Trump posts on Truth Social that his attorneys have been informed that he has been indicted by the Biden DOJ in relation to the classified documents at MaraLago

Link in bio for MORE"
"The apocalypticism that runs through current climate policy is just another example of the millenarian thinking that has bedeviled humanity over the centuries. 

And the relentless insistence that we must all make do with less “to save the planet” is just another example of the pointless asceticism that has been a feature of countless philosophies, religious or otherwise, for a long, long time. 

I had not, however, expected animal sacrifice to have made its way into climate fundamentalism, but here we are — old habits and all that.

Link in bio for MORE.",2023-06-09 00:24:22,"The apocalypticism that runs through current climate policy is just another example of the millenarian thinking that has bedeviled humanity over the centuries 

And the relentless insistence that we must all make do with less to save the planet is just another example of the pointless asceticism that has been a feature of countless philosophies religious or otherwise for a long long time 

I had not however expected animal sacrifice to have made its way into climate fundamentalism but here we are  old habits and all that

Link in bio for MORE"
"Agreed on in principle, the deal involves China paying Cuba billions of dollars in exchange for room to build and operate the facility.

Link in bio for MORE.",2023-06-08 23:24:44,"Agreed on in principle the deal involves China paying Cuba billions of dollars in exchange for room to build and operate the facility

Link in bio for MORE"
"Pat Robertson, the Christian media mogul who held an influential role in developing the modern American Christian Right, died Thursday at 93, his broadcasting network announced.

Robertson transformed a small local television station into the global Christian Broadcasting Network (CBN) in 1960, building a substantial audience and gaining influence on the Christian Right in the process. He also ran for president in 1988, finishing in third and winning four primary contests. He finished second in the Iowa caucuses, knocking eventual Republican nominee and former president George H.W. Bush to a third place finish.

Robertson died at his Virginia Beach home surrounded by his family. “My father was an extraordinary man by any standard. He was an evangelist, a humanitarian, an entrepreneur, an educator, an author, a statesman, a television personality, a man of global influence and tremendous vision. Perhaps most important though, he was a dearly loved father, grandfather, great-grandfather, and friend,” wrote Robertson’s son, Gordon, who is also CEO and President of CBN.

MORE: https://www.nationalreview.com/news/pat-robertson-christian-media-mogul-and-presidential-candidate-dead-at-93/",2023-06-08 22:05:06,"Pat Robertson the Christian media mogul who held an influential role in developing the modern American Christian Right died Thursday at 93 his broadcasting network announced

Robertson transformed a small local television station into the global Christian Broadcasting Network CBN in 1960 building a substantial audience and gaining influence on the Christian Right in the process He also ran for president in 1988 finishing in third and winning four primary contests He finished second in the Iowa caucuses knocking eventual Republican nominee and former president George HW Bush to a third place finish

Robertson died at his Virginia Beach home surrounded by his family My father was an extraordinary man by any standard He was an evangelist a humanitarian an entrepreneur an educator an author a statesman a television personality a man of global influence and tremendous vision Perhaps most important though he was a dearly loved father grandfather greatgrandfather and friend wrote Robertsons son Gordon who is also CEO and President of CBN

MORE httpswwwnationalreviewcomnewspatrobertsonchristianmediamogulandpresidentialcandidatedeadat93"
"Biden Wrote A Check That Student Borrowers Can’t Cash And It’s About To Come Back To Bite Him

#NR #NRO #student #loan #debt #borrowers #borrowed #pay #payments #cancel #cancellation #politics #Democrats #WhiteHouse #Biden #legal #illegal #authority #SupremeCourt #SCOTUS #POTUS #Republicans #Congress #power #avarice #activists",2023-06-08 21:26:04,"Biden Wrote A Check That Student Borrowers Cant Cash And Its About To Come Back To Bite Him

NR NRO student loan debt borrowers borrowed pay payments cancel cancellation politics Democrats WhiteHouse Biden legal illegal authority SupremeCourt SCOTUS POTUS Republicans Congress power avarice activists"
"Trump announced a new plank of his platform for the 2024 presidential race: a year-long celebration of the 250th anniversary of the Declaration of Independence. The festivities will center on a “Great American State Fair” at the Iowa State Fairgrounds composed of pavilions representing each of the 50 states.

Concurrently with the fair are to be the Patriot Games, a series of competitions between high-school athletes from across the nation. Additionally, Trump announced plans to revive the National Garden of American Heroes, a statuary park planned during the last year of his administration but cancelled by President Biden.

One New York Times assessment of the proposal was predictably cynical.

Link in bio for MORE.",2023-06-08 19:49:34,"Trump announced a new plank of his platform for the 2024 presidential race a yearlong celebration of the 250th anniversary of the Declaration of Independence The festivities will center on a Great American State Fair at the Iowa State Fairgrounds composed of pavilions representing each of the 50 states

Concurrently with the fair are to be the Patriot Games a series of competitions between highschool athletes from across the nation Additionally Trump announced plans to revive the National Garden of American Heroes a statuary park planned during the last year of his administration but cancelled by President Biden

One New York Times assessment of the proposal was predictably cynical

Link in bio for MORE"
"It is beyond time to stand up to the trans lobby that means to deprive women of their spaces and rights. 

To the men who pose as trans women to gain access to places like sorority houses only to exploit the women strong-armed into welcoming them. 

To the men who grow their hair long, throw on a dress, pop on their TikTok filter, and then threaten to kill us if we object to them coming into our private spaces. 

To the mutilation of our children by money-driven doctors, to the rape of female prisoners, and to the theft of our medals and opportunities to win.

Link in bio for the full monologue.",2023-06-07 22:03:53,"It is beyond time to stand up to the trans lobby that means to deprive women of their spaces and rights 

To the men who pose as trans women to gain access to places like sorority houses only to exploit the women strongarmed into welcoming them 

To the men who grow their hair long throw on a dress pop on their TikTok filter and then threaten to kill us if we object to them coming into our private spaces 

To the mutilation of our children by moneydriven doctors to the rape of female prisoners and to the theft of our medals and opportunities to win

Link in bio for the full monologue"
"Chris Licht is out as CNN CEO after growing criticism over the network’s Donald Trump town hall as well as the release of an Atlantic profile that did not go over well with staffers.

Link in bio for MORE.",2023-06-07 20:36:15,"Chris Licht is out as CNN CEO after growing criticism over the networks Donald Trump town hall as well as the release of an Atlantic profile that did not go over well with staffers

Link in bio for MORE"
"Why wouldn't he choose California? 🤔🤔🤔

Link in bio for MORE.",2023-06-07 19:28:13,"Why wouldnt he choose California 

Link in bio for MORE"
"As the penultimate episode aired, it was time to accept that for its masculine suggestion, Ted Lasso is a female fantasy. 

Unlike dime novels, however, this fantasy was one of secular power. 

Everything a progressive woman craves — the patriarchy humiliated, unitarian intersectionalism, and diverse young men willing to please them while assuaging their white guilt — is all there for the taking.

Link in bio for MORE.",2023-06-07 03:16:23,"As the penultimate episode aired it was time to accept that for its masculine suggestion Ted Lasso is a female fantasy 

Unlike dime novels however this fantasy was one of secular power 

Everything a progressive woman craves  the patriarchy humiliated unitarian intersectionalism and diverse young men willing to please them while assuaging their white guilt  is all there for the taking

Link in bio for MORE"
"A professional men’s soccer team from the UK destroyed a US women’s soccer team 12—0, illustrating in the process the profound physical advantage that male athletes have over their female counterparts.

The Wrexham squad was composed of former, current and guest players and the US squad was composed of former players including World Cup winner Heather O’Reilly. 

In the first 20 minutes of the match, Wrexham scored seven goals.

This wasn't a ""friendly,"" but rather part of a 7-on-7 tournament known as The Soccer Tournament that featured a $1M prize. 

Link in bio for MORE.",2023-06-06 21:45:40,"A professional mens soccer team from the UK destroyed a US womens soccer team 120 illustrating in the process the profound physical advantage that male athletes have over their female counterparts

The Wrexham squad was composed of former current and guest players and the US squad was composed of former players including World Cup winner Heather OReilly 

In the first 20 minutes of the match Wrexham scored seven goals

This wasnt a friendly but rather part of a 7on7 tournament known as The Soccer Tournament that featured a 1M prize 

Link in bio for MORE"
"The single most important day of the 20th century was 79 years ago on June 6, 1944: D-Day. The official code name for the World War II Allied campaign launched that day was Operation Overlord.

Dawson, Spalding, and Streczyk, and the men they led, managed to slip in between strong German fortifications that were slaughtering the troops on the beach and to fight their way to the top of the Omaha bluff, clearing a path that others could follow. 

Using the element of surprise by attacking from the rear, they methodically destroyed many German defenses.

Check the link in bio to read their heroic exploits.",2023-06-06 20:28:47,"The single most important day of the 20th century was 79 years ago on June 6 1944 DDay The official code name for the World War II Allied campaign launched that day was Operation Overlord

Dawson Spalding and Streczyk and the men they led managed to slip in between strong German fortifications that were slaughtering the troops on the beach and to fight their way to the top of the Omaha bluff clearing a path that others could follow 

Using the element of surprise by attacking from the rear they methodically destroyed many German defenses

Check the link in bio to read their heroic exploits"
"The move sets up a contest between a former president and his vice president. 

The relationship between Trump and Pence has become contentious due to the events of January 6, 2021. 

Pence has harshly criticized his former boss for pressuring him to cooperate with a scheme to overturn the results of the 2020 election by refusing to certify certain electoral votes. 

“I had no right to overturn the election and his reckless words endangered my family and everyone at the Capitol that day, and I know that history will hold Donald Trump accountable,” Pence said at a March event in Washington D.C.

Link in bio for MORE.",2023-06-06 18:37:46,"The move sets up a contest between a former president and his vice president 

The relationship between Trump and Pence has become contentious due to the events of January 6 2021 

Pence has harshly criticized his former boss for pressuring him to cooperate with a scheme to overturn the results of the 2020 election by refusing to certify certain electoral votes 

I had no right to overturn the election and his reckless words endangered my family and everyone at the Capitol that day and I know that history will hold Donald Trump accountable Pence said at a March event in Washington DC

Link in bio for MORE"
"Do You Know How Many Pride Days, Weeks, And Months There Are? Rich Lists Them ALL

#NR #NRO #Pride #LGBT #LGBTQIA #trans #transgender #bisexual #sex #gender #gay #lesbian #race #time #timetrial #rush #politics #culturewar",2023-06-06 17:59:45,"Do You Know How Many Pride Days Weeks And Months There Are Rich Lists Them ALL

NR NRO Pride LGBT LGBTQIA trans transgender bisexual sex gender gay lesbian race time timetrial rush politics culturewar"
"Vivek's Plan For Peace In Ukraine Could Be Big Trouble For US - He Wants To Be President??

#NR #NRO #VivekRamaswamy #Ukraine #Russia #war #peace #politics #concessions #border #surrender #battle",2023-06-05 21:44:39,"Viveks Plan For Peace In Ukraine Could Be Big Trouble For US  He Wants To Be President

NR NRO VivekRamaswamy Ukraine Russia war peace politics concessions border surrender battle"
"Sailors guide an F/A-18E Super Hornet from the “Kestrels” of Strike Fighter Squadron VFA-137 on the flight deck of the aircraft carrier USS Nimitz (CVN-68), under way in the Pacific Ocean, May 31, 2023. (Photo: Mass Communication Specialist Second Class Justin McTaggart/U.S. Navy)

Every Monday, National Review posts Defending America, a gallery of recent U.S. armed forces deployments and training exercises featuring images by photographers serving in the Army, Navy, Air Force, Marine Corps, and Coast Guard.

Link in bio for MORE.",2023-06-05 19:28:21,"Sailors guide an FA18E Super Hornet from the Kestrels of Strike Fighter Squadron VFA137 on the flight deck of the aircraft carrier USS Nimitz CVN68 under way in the Pacific Ocean May 31 2023 Photo Mass Communication Specialist Second Class Justin McTaggartUS Navy

Every Monday National Review posts Defending America a gallery of recent US armed forces deployments and training exercises featuring images by photographers serving in the Army Navy Air Force Marine Corps and Coast Guard

Link in bio for MORE"
"“It Isn’t True”: Megyn Kelly on the Dangers of Accepting Trans Activists’ Lies - On NRO Day, Megyn Kelly said she's had enough of the trans lobby. No More. Link in bio for MORE.

#NR #NRO #culturewar #trans #transgender #lgbtqia #pride #Day #MegynKelly #Show #Jim #Rich #monologue",2023-06-05 06:19:43,"It Isnt True Megyn Kelly on the Dangers of Accepting Trans Activists Lies  On NRO Day Megyn Kelly said shes had enough of the trans lobby No More Link in bio for MORE

NR NRO culturewar trans transgender lgbtqia pride Day MegynKelly Show Jim Rich monologue"
"Disney Brainwashing Kids AND Robbing Parents? - Not Very Magical, Is It?

#NR #NRO #trans #pride #drag #queen #princess #costume #Disney #World #Land #man #woman #dress #expensive #money #travel #politics #culturewar #trip #vacation #grooming #groomer",2023-06-02 20:30:58,"Disney Brainwashing Kids AND Robbing Parents  Not Very Magical Is It

NR NRO trans pride drag queen princess costume Disney World Land man woman dress expensive money travel politics culturewar trip vacation grooming groomer"
"Since May, Target’s stock has been trending downward in what Market Watch said was its longest losing streak in 23 years, according to its analysis of Dow Jones data. On Wednesday, the stock hit its lowest closing price since August 11, 2020.

A shopping rebellion among conservatives erupted when it was revealed last month that Target had contracted with a vendor that sells Satanist merchandise, some of which glorifies violence, to create products for its “PRIDE” collection.

While Target does not sell the Satanist-inspired products, the retail giant sealed a collaboration with Abprallen to create pride-related products, such as a messenger bag saying “We Belong Everywhere” across trans-flag colors and planets, a tote bag with the message “Too Queer for Here” beneath a UFO, and a “Cure Transphobia, Not Trans People” sweatshirt.

Link in bio for MORE.",2023-06-02 19:15:09,"Since May Targets stock has been trending downward in what Market Watch said was its longest losing streak in 23 years according to its analysis of Dow Jones data On Wednesday the stock hit its lowest closing price since August 11 2020

A shopping rebellion among conservatives erupted when it was revealed last month that Target had contracted with a vendor that sells Satanist merchandise some of which glorifies violence to create products for its PRIDE collection

While Target does not sell the Satanistinspired products the retail giant sealed a collaboration with Abprallen to create priderelated products such as a messenger bag saying We Belong Everywhere across transflag colors and planets a tote bag with the message Too Queer for Here beneath a UFO and a Cure Transphobia Not Trans People sweatshirt

Link in bio for MORE"
"MLB Pitcher Begs Forgiveness For Offending 'Pride Community' After Sharing Post Supporting Bud Light, Target Boycotts

#NR #NRO #TorontoBlueJays #MLB #Pride #lgbtqia #Blue #Jays #BudLight #boycott #Target #trans #transgender #protest #sorry #apology",2023-06-02 01:54:14,"MLB Pitcher Begs Forgiveness For Offending Pride Community After Sharing Post Supporting Bud Light Target Boycotts

NR NRO TorontoBlueJays MLB Pride lgbtqia Blue Jays BudLight boycott Target trans transgender protest sorry apology"
"Biden Takes Hard Fall At USAF Academy Graduation

#NR #NRO #Biden #Fall #Democrats #Republicans #politics #military #USAF #academy #graduation #trip #slip #fell",2023-06-01 22:13:57,"Biden Takes Hard Fall At USAF Academy Graduation

NR NRO Biden Fall Democrats Republicans politics military USAF academy graduation trip slip fell"
"Sunny Says 'White Women' Want To 'Protect The Patriarchy' - OR Maybe They're Just Fed Up Of Progressives' Radical Extremism

#NR #NRO #conservatives #whitewomen #women #patriarchy #race #liberals #progressives #abortion #thinking #freewill #politics #husbands #wives #marriage #lgbtqia #children #kids #republicans #GOP #Democrats",2023-06-01 20:14:46,"Sunny Says White Women Want To Protect The Patriarchy  OR Maybe Theyre Just Fed Up Of Progressives Radical Extremism

NR NRO conservatives whitewomen women patriarchy race liberals progressives abortion thinking freewill politics husbands wives marriage lgbtqia children kids republicans GOP Democrats"
"On Memorial Day, cases and cases of Bud Light sat alone on shelves as Americans decided to buy any other beer this holiday weekend.

""We should all be grateful to Anheuser-Busch.

Some corporation had to show how “woke” marketing could cost an iconic American brand dearly in terms of its image, its sales, and its market capitalization.

Through its special beer can produced for transgender influencer Dylan Mulvaney, Anheuser-Busch, in effect, volunteered for duty.

The CEO of General Motors didn’t really say in the 1950s that what’s good for GM is good for the country.

Still, to paraphrase the famous misquote of auto executive Charles Wilson, what’s terrible for Bud Light sales is now good for America. With every viral anti–Bud Light video and twelve-pack moldering on a store shelf or in a warehouse, the message is being sent to other corporations that they may come to regret their gratuitous forays into the culture war."" 

Link in bio for MORE.",2023-05-31 22:38:51,"On Memorial Day cases and cases of Bud Light sat alone on shelves as Americans decided to buy any other beer this holiday weekend

We should all be grateful to AnheuserBusch

Some corporation had to show how woke marketing could cost an iconic American brand dearly in terms of its image its sales and its market capitalization

Through its special beer can produced for transgender influencer Dylan Mulvaney AnheuserBusch in effect volunteered for duty

The CEO of General Motors didnt really say in the 1950s that whats good for GM is good for the country

Still to paraphrase the famous misquote of auto executive Charles Wilson whats terrible for Bud Light sales is now good for America With every viral antiBud Light video and twelvepack moldering on a store shelf or in a warehouse the message is being sent to other corporations that they may come to regret their gratuitous forays into the culture war 

Link in bio for MORE"
"Joy Reid Calls DeSantis ""Little Dictator In The Making,"" Saying US Will Be Like Iran, China or Cuba

#NR #NRO #hysteria #DeSantis #Joy #Reid #MSNBC #totalitarianism #politics #Republicans #Democrats #state #Florida #government #GOP #Dems #liberals #conservatives #communism #socialism #dictator #china #cuba #northkorea #iran #religion #schools #students #children",2023-05-31 22:21:33,"Joy Reid Calls DeSantis Little Dictator In The Making Saying US Will Be Like Iran China or Cuba

NR NRO hysteria DeSantis Joy Reid MSNBC totalitarianism politics Republicans Democrats state Florida government GOP Dems liberals conservatives communism socialism dictator china cuba northkorea iran religion schools students children"
"✈️✈️✈️ China Gets A Little Too Frisky With A US Surveillance Plane, Pentagon Denounces 'Unprofessional' Intercept By Fighter Jet

#NR #NRO #jet #China #fighter #US #plane #spy #South #Sea #Taiwan #Pacific #Theater #politics #Pentagon #military #coast #war",2023-05-31 05:46:39," China Gets A Little Too Frisky With A US Surveillance Plane Pentagon Denounces Unprofessional Intercept By Fighter Jet

NR NRO jet China fighter US plane spy South Sea Taiwan Pacific Theater politics Pentagon military coast war"
"The argument about which candidate is more likely to win the general election is an important one, but it deals with hypotheticals; we can’t explore different alternate universes to see if Ted Cruz could have beaten Hillary Clinton in 2016, or whether Bernie Sanders would have lost to Trump in 2020. 

Primary voters who strongly prefer one candidate will always find ways to convince themselves that their guy is the one most likely to win a general election. (Voters rarely choose to support a candidate who they think will lose the general election.) 

Considering the polling numbers, Ramesh’s advice is correct — “the key argument that DeSantis has to make is that he would be a better president than Trump, at least in terms of what matters to Republican voters.”

Link in bio for MORE.",2023-05-31 00:17:39,"The argument about which candidate is more likely to win the general election is an important one but it deals with hypotheticals we cant explore different alternate universes to see if Ted Cruz could have beaten Hillary Clinton in 2016 or whether Bernie Sanders would have lost to Trump in 2020 

Primary voters who strongly prefer one candidate will always find ways to convince themselves that their guy is the one most likely to win a general election Voters rarely choose to support a candidate who they think will lose the general election 

Considering the polling numbers Rameshs advice is correct  the key argument that DeSantis has to make is that he would be a better president than Trump at least in terms of what matters to Republican voters

Link in bio for MORE"
"""A Bunch Of Other Stuff""?? Comey's Masterclass Whitewashing Of Durham's Findings Of FBI Wrongdoing In Trump-Russia Probe

#NR #NRO #conservatives #Republicans #Durham #Trump #liberals #Democrats #FBI #FISA #Russia #SteeleDossier #Russiahoax #Hoax #Failure #politics #DonaldTrump #court",2023-05-30 23:33:46,"A Bunch Of Other Stuff Comeys Masterclass Whitewashing Of Durhams Findings Of FBI Wrongdoing In TrumpRussia Probe

NR NRO conservatives Republicans Durham Trump liberals Democrats FBI FISA Russia SteeleDossier Russiahoax Hoax Failure politics DonaldTrump court"
"Uh Oh, Joe! - New Numbers ‘Horrible’ For Biden’s 2024 Chances #NR #NRO #Biden #politics #election #Democrats #Dems #liberals #GOP #Republicans #conservatives #vote #primary #rfkjr #TRUMP #DeSantis",2023-05-27 05:50:16,Uh Oh Joe  New Numbers Horrible For Bidens 2024 Chances NR NRO Biden politics election Democrats Dems liberals GOP Republicans conservatives vote primary rfkjr TRUMP DeSantis
"Joy Reid Rages About Authoritarianism, But She's REALLY Worried About Dems Losing Control

#NR #NRO #Democrats #politics #Republicans #DeSantis #ElonMusk #Elon #Twitter #progressives #narrative #control #losing #winning #GOP #Dems #conservatives #authoritarian #fasicsm #wokeism #socialism",2023-05-26 23:09:21,"Joy Reid Rages About Authoritarianism But Shes REALLY Worried About Dems Losing Control

NR NRO Democrats politics Republicans DeSantis ElonMusk Elon Twitter progressives narrative control losing winning GOP Dems conservatives authoritarian fasicsm wokeism socialism"
"'Squad' Dem Claims Debt Ceiling Used To Be 'Sacred' - Where Was That In The Bible??

#NR #NRO #debtlimit #ceiling #debt #negotiations #Democrats #Squad #liberals #conservatives #Republicans #GOP #money #USA #politics #bills #laws #catastrophe #Bible #decalogue #religion #sacred",2023-05-26 22:10:37,"Squad Dem Claims Debt Ceiling Used To Be Sacred  Where Was That In The Bible

NR NRO debtlimit ceiling debt negotiations Democrats Squad liberals conservatives Republicans GOP money USA politics bills laws catastrophe Bible decalogue religion sacred"
"KJP Lies Again! - No, The Gorman Poem Was NOT Banned In Florida School

#NR #NRO #Democrats #Dems #Gorman #poem #Liberals #Conservatives #Republicans #GOP #Florida #school #desantis #banned #book #ban #books #students #elementary #middle #kids",2023-05-26 00:02:08,"KJP Lies Again  No The Gorman Poem Was NOT Banned In Florida School

NR NRO Democrats Dems Gorman poem Liberals Conservatives Republicans GOP Florida school desantis banned book ban books students elementary middle kids"
"How the Left Is Waging A War On Things That Work

#NR #NRO #magazine #gas #stove #culturewar #Left #Right #Liberals #Conservatives #Republicans #GOP #Democrats #Dems #cover",2023-05-25 23:30:40,"How the Left Is Waging A War On Things That Work

NR NRO magazine gas stove culturewar Left Right Liberals Conservatives Republicans GOP Democrats Dems cover"
"Kari Lake Nukes Reporter For Refusing To Say Pledge Of Allegiance And Put His Hand On His Heart - At a press conference, Lake challenged a reporter for being un-American while ""cheerleading"" for masking children during the pandemic. 

#NR #NRO #KariLake #election #masks #pandemic #covid #politics #Republicans #Democrats #liberals #conservatives #culturewar",2023-05-24 20:50:42,"Kari Lake Nukes Reporter For Refusing To Say Pledge Of Allegiance And Put His Hand On His Heart  At a press conference Lake challenged a reporter for being unAmerican while cheerleading for masking children during the pandemic 

NR NRO KariLake election masks pandemic covid politics Republicans Democrats liberals conservatives culturewar"
"""Are You Excited?"": Assisted Suicide For Elderly Is Ugly And Wicked Thing 

#NR #NRO #politics #assisted #suicide #death #elderly #people #old #age #time #tragic #sad #hospital #injection #dependent #dependency #society",2023-05-24 20:25:35,"Are You Excited Assisted Suicide For Elderly Is Ugly And Wicked Thing 

NR NRO politics assisted suicide death elderly people old age time tragic sad hospital injection dependent dependency society"
"Dem Gov Declares 'State Of Emergency' After Republicans Set To Throw His School Choice Veto In The Trash - NC Gov. Roy Cooper, who sent his own kid to private school, declared an emergency because Republicans want to give families the freedom to do the same. 

#NR #NRO #schoolchoice #school #students #families #parents #private #public #Democrats #Republicans #northcarolina #NC #politics #liberals #conservatives #taxes #taxpayer #money",2023-05-24 19:45:28,"Dem Gov Declares State Of Emergency After Republicans Set To Throw His School Choice Veto In The Trash  NC Gov Roy Cooper who sent his own kid to private school declared an emergency because Republicans want to give families the freedom to do the same 

NR NRO schoolchoice school students families parents private public Democrats Republicans northcarolina NC politics liberals conservatives taxes taxpayer money"
"Escape From Florida, Lesbian Edition? - A Queer Couple Says They Have To Make A ""Go Plan"" To Get Out Of Florida If It Becomes ""Too Unsafe""

#NR #NRO #queer #lesbians #Florida #flee #escape #flyyoufools #politics #DeSantis #plan #emergency #Republicans #Democrats #liberals #conservatives #gender #ideology #abortion #schools #children #students",2023-05-24 19:12:15,"Escape From Florida Lesbian Edition  A Queer Couple Says They Have To Make A Go Plan To Get Out Of Florida If It Becomes Too Unsafe

NR NRO queer lesbians Florida flee escape flyyoufools politics DeSantis plan emergency Republicans Democrats liberals conservatives gender ideology abortion schools children students"
